title,c_prod_bud,domestic_box_office,domestic_box_office_roi
ATL,17000000,21170563.0,0.245
AVP: Alien Vs. Predator,70000000,80281096.0,0.147
Abandon,25000000,10719367.0,-0.571
Abduction,35000000,28087155.0,-0.198
Aberdeen,6500000,64148.0,-0.99
About Last Night,13000000,48637684.0,2.741
About Schmidt,30000000,65005217.0,1.167
About Time,12000000,15323921.0,0.277
About a Boy,27000000,40803000.0,0.511
Above and Beyond,1300000,288751.0,-0.778
Abraham Lincoln: Vampire Hunter,67500000,37519139.0,-0.444
Absentia,70000,0.0,-1.0
Absolute Power,50000000,50068310.0,0.001
Accidental Love,26000000,0.0,-1.0
Ace Ventura: Pet Detective,12000000,72217396.0,5.018
Ace Ventura: When Nature Calls,30000000,108360063.0,2.612
Across the Universe,45000000,24343673.0,-0.459
Act of Valor,12000000,70012847.0,4.834
Action Jackson,7000000,20257000.0,1.894
Adam,3200000,2277396.0,-0.288
Adam Resurrected,10000000,0.0,-1.0
Adaptation,18500000,22498520.0,0.216
Addicted,5000000,17390770.0,2.478
Admission,13000000,18007317.0,0.385
Adoration,4000000,294244.0,-0.926
Adventureland,9800000,16044025.0,0.637
Aeon Flux,55000000,25857987.0,-0.53
After Earth,130000000,60522097.0,-0.534
After the Sunset,57000000,28328132.0,-0.503
After.Life,4500000,108596.0,-0.976
Against the Ropes,39000000,5881504.0,-0.849
Agent Cody Banks,25000000,47545060.0,0.902
Agent Cody Banks 2: Destination London,26000000,23514247.0,-0.096
Agora,70000000,619423.0,-0.991
Aimée & Jaguar,6800000,927107.0,-0.864
Ain't Them Bodies Saints,5000000,391611.0,-0.922
Air Bud,3000000,24646936.0,7.216
Air Force One,85000000,172956409.0,1.035
Airlift (2016),4400000,0.0,-1.0
Airplane!,3500000,83453539.0,22.844
Ajami,1000000,621859.0,-0.378
Akeelah and the Bee,8000000,18848430.0,1.356
Akira,8000000,19585.0,-0.998
Akmareul Boatda,6000000,129210.0,-0.978
Aladdin,28000000,217350219.0,6.763
Alatriste,28000000,0.0,-1.0
Albert Nobbs,7500000,3014696.0,-0.598
Albino Alligator,5000000,353480.0,-0.929
Alex & Emma,30000000,14208384.0,-0.526
Alex Cross,35000000,25888412.0,-0.26
Alex Rider: Operation Stormbreaker,40000000,659210.0,-0.984
Alexander,155000000,34297191.0,-0.779
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",28000000,66954149.0,1.391
Alexander's Ragtime Band,2000000,4000000.0,1.0
Alfie,40000000,13395939.0,-0.665
Ali,109000000,58183966.0,-0.466
Alice Through the Looking Glass,170000000,77042381.0,-0.547
Alice in Wonderland,200000000,334191110.0,0.671
Alien,9000000,80930630.0,7.992
Alien 3,55000000,54927174.0,-0.001
Alien: Resurrection,60000000,47795018.0,-0.203
Aliens,17000000,85160248.0,4.009
Aliens in the Attic,45000000,25200412.0,-0.44
Aliens vs. Predator - Requiem,40000000,41797066.0,0.045
Alive,32000000,36299670.0,0.134
All About Steve,15000000,33862903.0,1.258
All About the Benjamins,14000000,25482931.0,0.82
All Good Things,20000000,582024.0,-0.971
All Hat,4900000,15198.0,-0.997
All You Need Is Love,300000,0.0,-1.0
All is Lost,8500000,6263670.0,-0.263
All or Nothing,9000000,184255.0,-0.98
All the Boys Love Mandy Lane,750000,0.0,-1.0
All the King's Men,55000000,7221458.0,-0.869
All the Pretty Horses,45000000,15527125.0,-0.655
All the Queen's Men,15000000,22723.0,-0.998
All the Real Girls,1000000,549666.0,-0.45
Almost Christmas,17000000,42031230.0,1.472
Almost Famous,60000000,32522352.0,-0.458
Aloft,8000000,53086.0,-0.993
Aloha,37000000,21052030.0,-0.431
Alone in the Dark,20000000,5178569.0,-0.741
Alone with Her,1000000,10787.0,-0.989
Along Came Polly,42000000,88073507.0,1.097
Along Came a Spider,28000000,74058698.0,1.645
Along the Roadside,250000,0.0,-1.0
Alpha and Omega 3D,20000000,25107267.0,0.255
Alvin and the Chipmunks,55000000,217326974.0,2.951
Alvin and the Chipmunks: Chipwrecked,80000000,133107389.0,0.664
Alvin and the Chipmunks: The Road Chip,90000000,85886987.0,-0.046
Alvin and the Chipmunks: The Squeakquel,70000000,219614612.0,2.137
Amadeus,18000000,51973029.0,1.887
Amelia,40000000,14279575.0,-0.643
Amen,14000000,274299.0,-0.98
America's Sweethearts,46000000,93607673.0,1.035
American Beauty,15000000,130058047.0,7.671
American Desi,250000,902835.0,2.611
American Dreamz,17000000,7314027.0,-0.57
American Gangster,100000000,130164645.0,0.302
American Graffiti,777000,115000000.0,147.005
American Heist,10000000,0.0,-1.0
American History X,10000000,6719864.0,-0.328
American Hustle,40000000,150117807.0,2.753
American Ninja 2: The Confrontation,350000,4000000.0,10.429
American Outlaws,35000000,13264986.0,-0.621
American Pie,12000000,101800948.0,7.483
American Pie 2,30000000,145096820.0,3.837
American Psycho,8000000,15070285.0,0.884
American Reunion,50000000,56758835.0,0.135
American Sniper,58000000,350126372.0,5.037
American Splendor,2000000,6003587.0,2.002
American Ultra,28000000,14439985.0,-0.484
American Wedding,55000000,104354205.0,0.897
Amigo,1500000,184705.0,-0.877
Amistad,40000000,44212592.0,0.105
Among Giants,4000000,64359.0,-0.984
Amores Perros,2000000,5383834.0,1.692
Amour,9700000,6738954.0,-0.305
An Alan Smithee Film: Burn Hollywood Burn,10000000,45779.0,-0.995
An American Carol,20000000,7013191.0,-0.649
An American Haunting,14000000,16298046.0,0.164
An Education,7500000,12574914.0,0.677
An Everlasting Piece,4000000,75078.0,-0.981
An Ideal Husband,10700000,18542974.0,0.733
An Inconvenient Truth,1000000,24146161.0,23.146
An Unfinished Life,30000000,8535575.0,-0.715
Anaconda,45000000,65598907.0,0.458
Anacondas: The Hunt for the Blood Orchid,25000000,31526393.0,0.261
Analyze That,60000000,32122249.0,-0.465
Analyze This,30000000,106885658.0,2.563
Anastasia,53000000,58403409.0,0.102
Anatomie,2500000,9598.0,-0.996
Anchorman 2: The Legend Continues,50000000,127352707.0,1.547
Anchorman: The Legend of Ron Burgundy,25000000,84136909.0,2.365
And So It Goes,18000000,15160801.0,-0.158
And Then Came Love,989000,8158.0,-0.992
And When Did You Last See Your Father?,8000000,1071240.0,-0.866
Angel Eyes,38000000,24044532.0,-0.367
Angela's Ashes,25000000,13038660.0,-0.478
Angels & Demons,150000000,133375846.0,-0.111
Anger Management,56000000,135560942.0,1.421
Animal Kingdom,4200000,1044039.0,-0.751
Anna,4357373,0.0,-1.0
Anna Karenina,49000000,12816367.0,-0.738
Anna and the King,75000000,39251128.0,-0.477
Annabelle,6500000,84273813.0,11.965
Annie,65000000,85911262.0,0.322
Annie Get Your Gun,3768785,8000000.0,1.123
Annie Hall,4000000,38251425.0,8.563
Anomalisa,8000000,3759286.0,-0.53
Anonymous,27500000,4463292.0,-0.838
Another Earth,175000,1321194.0,6.55
Another Happy Day,4000000,9120.0,-0.998
Another Year,8000000,3205706.0,-0.599
