title,c_prod_bud,domestic_box_office,domestic_box_office_roi
Escobar: Paradise Lost,17000000,195792.0,-0.988
Eternal Sunshine of the Spotless Mind,20000000,34366518.0,0.718
Eulogy,10000000,70527.0,-0.993
Eureka,2000000,49388.0,-0.975
Eurotrip,25000000,17718223.0,-0.291
Evan Almighty,175000000,100289690.0,-0.427
Eve's Bayou,5000000,14843425.0,1.969
Event Horizon,60000000,26673242.0,-0.555
Ever After: A Cinderella Story,26000000,65705772.0,1.527
Everest,65000000,43309450.0,-0.334
Everybody Wants Some,10000000,3400278.0,-0.66
Everybody's Fine,20000000,9208876.0,-0.54
Everyone Says I Love You,20000000,9725847.0,-0.514
Everything Must Go,5000000,2712131.0,-0.458
Everything Put Together,500000,0.0,-1.0
Everything You Always Wanted to Know,2000000,18016290.0,8.008
Evil Dead,17000000,54239856.0,2.191
Evil Dead II,3500000,5923044.0,0.692
Evita,55000000,50047179.0,-0.09
Evolution,80000000,38311134.0,-0.521
Ex Machina,13000000,25440971.0,0.957
Excessive Force,13000000,1152117.0,-0.911
Executive Decision,55000000,56679192.0,0.031
Exit Wounds,33000000,51758599.0,0.568
Exodus,4000000,21750000.0,4.438
Exodus: Gods and Kings,140000000,65014513.0,-0.536
Exorcist II: The Heretic,14000000,25011000.0,0.786
Exorcist: The Beginning,78000000,41814863.0,-0.464
Exotica,1500000,5046118.0,2.364
Extract,7500000,10823158.0,0.443
Extraordinary Measures,31000000,12482741.0,-0.597
Extreme Measures,38000000,17378193.0,-0.543
Extreme Movie,1200000,0.0,-1.0
Extreme Ops,40000000,4835968.0,-0.879
Extremely Loud and Incredibly Close,40000000,31847881.0,-0.204
Eye See You,55000000,79161.0,-0.999
Eye for an Eye,20000000,26792700.0,0.34
Eye in the Sky,13000000,18704596.0,0.439
Eye of the Beholder,15000000,16500786.0,0.1
Eye of the Dolphin,2500000,72210.0,-0.971
Eyes Wide Shut,65000000,55691208.0,-0.143
F.I.S.T,11000000,20388920.0,0.854
FUR: An Imaginary Portrait of Diane Arbus,16800000,223202.0,-0.987
Fabled,400000,31425.0,-0.921
Face/Off,80000000,112276146.0,0.403
Facing the Giants,100000,10178331.0,100.783
Factory Girl,7000000,1661464.0,-0.763
Fahrenheit 9/11,6000000,119114517.0,18.852
Failure to Launch,50000000,88715192.0,0.774
Fair Game,50000000,11497497.0,-0.77
Faith Connections,550000,9111.0,-0.983
Faithful,13000000,2104439.0,-0.838
Falcon Rising,4500000,11774.0,-0.997
Fame,18000000,22455510.0,0.248
Family Plot,3000000,13200000.0,3.4
Fantasia,2280000,83320000.0,35.544
Fantasia 2000 (IMAX),80000000,60507228.0,-0.244
Fantasia 2000 (Theatrical Release),80000000,9103630.0,-0.886
Fantastic Beasts and Where to Find Them,180000000,223900000.0,0.244
Fantastic Four,120000000,56117548.0,-0.532
Fantastic Four: Rise of the Silver Surfer,120000000,131921738.0,0.099
Far From Heaven,13500000,15901849.0,0.178
Fargo,7000000,24567751.0,2.51
Fascination,5000000,16670.0,-0.997
Fast & Furious,85000000,155064265.0,0.824
Fast Five,125000000,209837675.0,0.679
Fast Times at Ridgemont High,4500000,27092880.0,5.021
Fast and Furious 6,160000000,238679850.0,0.492
Faster,24000000,23240020.0,-0.032
Fat Albert,45000000,48114556.0,0.069
Fatal Attraction,14000000,156645693.0,10.189
Fateless,12000000,196857.0,-0.984
Father's Day,85000000,28681080.0,-0.663
Fear and Loathing in Las Vegas,18500000,10680275.0,-0.423
FearDotCom,40000000,13208023.0,-0.67
Feast,3200000,56131.0,-0.982
Feichang Xingyun,8000000,0.0,-1.0
Felicia's Journey,15000000,824295.0,-0.945
Femme Fatale,35000000,6630252.0,-0.811
Fengkuang de Shitou,500000,0.0,-1.0
Festen,1300000,1647780.0,0.268
Fever Pitch,40000000,42071069.0,0.052
Fiddler on the Roof,9000000,80500000.0,7.944
Fido,8000000,298110.0,-0.963
Fifty Dead Men Walking,10000000,0.0,-1.0
Fifty Shades of Black,5000000,11686940.0,1.337
Fifty Shades of Grey,40000000,166167230.0,3.154
Fight Club,65000000,37030102.0,-0.43
Fighting Tommy Riley,300000,10514.0,-0.965
Filly Brown,1250000,2850357.0,1.28
Final Destination,23000000,53302314.0,1.317
Final Destination 2,26000000,46896664.0,0.804
Final Destination 3,25000000,54098051.0,1.164
Final Destination 5,40000000,42587643.0,0.065
Final Fantasy: The Spirits Within,137000000,32131830.0,-0.765
Find Me Guilty,13000000,1173673.0,-0.91
Finding Dory,200000000,486295561.0,1.431
Finding Forrester,43000000,51768623.0,0.204
Finding Nemo,94000000,380529370.0,3.048
Finding Neverland,25000000,51676606.0,1.067
Finishing the Game,500000,52850.0,-0.894
Fired Up,20000000,17231291.0,-0.138
Fireflies in the Garden,8000000,36884.0,-0.995
Firefox,21000000,45785720.0,1.18
Fireproof,500000,33456317.0,65.913
Firestarter,15000000,15136870.0,0.009
Firestorm,19000000,8123860.0,-0.572
Firewall,50000000,48751189.0,-0.025
First Blood,14000000,47212904.0,2.372
First Daughter,30000000,9055010.0,-0.698
First Knight,75000000,37361412.0,-0.502
"First Love, Last Rites",300000,10876.0,-0.964
First Morning,300000,87264.0,-0.709
Fish Tank,3000000,374675.0,-0.875
Fiza,1000000,623791.0,-0.376
Flags of Our Fathers,53000000,33602376.0,-0.366
Flammen og Citronen,9000000,148089.0,-0.984
Flash Gordon,35000000,27107960.0,-0.225
Flash of Genius,20000000,4442377.0,-0.778
Flashdance,7000000,90463574.0,11.923
Flatliners,26000000,61308153.0,1.358
Flawless,27000000,4485485.0,-0.834
Fled,30000000,17192205.0,-0.427
Flicka,15000000,21000147.0,0.4
Flight,31000000,93772375.0,2.025
Flight of the Intruder,35000000,14471440.0,-0.587
Flight of the Phoenix,75000000,21009180.0,-0.72
Flightplan,55000000,89706988.0,0.631
Flipped,14000000,1755212.0,-0.875
Flipper,25530000,20080020.0,-0.213
Flirting with Disaster,7000000,14853474.0,1.122
Florence Foster Jenkins,29000000,27383770.0,-0.056
Flubber,80000000,92993801.0,0.162
Flushed Away,149000000,64665672.0,-0.566
Fly Me To the Moon,25000000,14543943.0,-0.418
Flyboys,60000000,13090630.0,-0.782
Flying By,5000000,0.0,-1.0
Focus,65000000,53862963.0,-0.171
Following,6000,48482.0,7.08
Fong juk,4500000,51957.0,-0.988
"Food, Inc.",1000000,4417674.0,3.418
Foodfight!,45000000,0.0,-1.0
Fool's Gold,72500000,70231041.0,-0.031
Foolish,1600000,6026908.0,2.767
Foolproof,5800000,230312.0,-0.96
Footloose,24000000,51802742.0,1.158
For Colored Girls,21000000,37729698.0,0.797
For Greater Glory,12000000,5669081.0,-0.528
For Love of the Game,50000000,35188640.0,-0.296
For Your Consideration,12000000,5549923.0,-0.538
For Your Eyes Only,28000000,54800000.0,0.957
"For a Good Time, Call",850000,1251749.0,0.473
Force 10 from Navarone,5000000,7100000.0,0.42
Forget Me Not,1300000,0.0,-1.0
Forgetting Sarah Marshall,30000000,63172463.0,1.106
Formula 51,27000000,5204007.0,-0.807
Forrest Gump,55000000,330151138.0,5.003
Fort McCoy,3000000,78948.0,-0.974
Fortress,12000000,6730578.0,-0.439
Forty Shades of Blue,1500000,75828.0,-0.949
Four Brothers,30000000,74494381.0,1.483
Four Christmases,80000000,120146040.0,0.502
Four Lions,3750000,310007.0,-0.917
Four Rooms,4000000,4301000.0,0.075
Four Weddings and a Funeral,4500000,52700832.0,10.711
Frailty,11000000,13110448.0,0.192
Frances Ha,3000000,4067398.0,0.356
Frankenstein,45000000,22006296.0,-0.511
Frankenweenie,39000000,35287788.0,-0.095
Freakonomics,2900000,101270.0,-0.965
Freaky Friday,26000000,110222438.0,3.239
Freddy Got Fingered,15000000,14249005.0,-0.05
Freddy vs. Jason,25000000,82622655.0,2.305
Freddy's Dead: The Final Nightmare,5000000,34872033.0,5.974
Free Birds,55000000,55750480.0,0.014
Free State of Jones,50000000,20810036.0,-0.584
Free Style,10000000,141108.0,-0.986
Freedom,14500000,0.0,-1.0
Freedom Writers,21000000,36605602.0,0.743
Freeheld,7000000,546201.0,-0.922
Freeway,3000000,295493.0,-0.902
Freeze Frame,2000000,0.0,-1.0
Frenzy,3500000,12600000.0,2.6
Frequency,31000000,44983704.0,0.451
Frida,12000000,25885000.0,1.157
Friday,3500000,27467564.0,6.848
Friday After Next,10000000,33253609.0,2.325
Friday Night Lights,30000000,61255921.0,1.042
Friday the 13th,17000000,65002019.0,2.824
Friday the 13th Part 2,1250000,21722776.0,16.378
Friday the 13th Part 3,2250000,36690067.0,15.307
Friday the 13th Part IV: The Final Chapter,2600000,32980880.0,11.685
Friday the 13th Part V: A New Beginning,2200000,21930418.0,8.968
Friday the 13th Part VI: Jason Lives,3000000,19472057.0,5.491
Friday the 13th Part VII: The New Blood,2800000,19170001.0,5.846
Friday the 13th Part VIII: Jason Takes Manhattan,5000000,14343976.0,1.869
Friends with Benefits,35000000,55802754.0,0.594
Friends with Money,6500000,13368437.0,1.057
Fright Night,30000000,18298649.0,-0.39
From Dusk Till Dawn,20000000,25728961.0,0.286
From Hell,35000000,31598308.0,-0.097
From Here to Eternity,1650000,30500000.0,17.485
From Justin to Kelly,12000000,4922166.0,-0.59
From Paris With Love,52000000,24077427.0,-0.537
From Russia With Love,2000000,24800000.0,11.4
Frost/Nixon,29000000,18622031.0,-0.358
Frozen,150000000,400738009.0,1.672
Frozen River,1000000,2511476.0,1.511
Fruitvale Station,900000,16098998.0,16.888
Fuel,2500000,174255.0,-0.93
Full Frontal,2000000,2512846.0,0.256
Fun Size ,14000000,9409538.0,-0.328
Fun With Dick And Jane,140000000,110550000.0,-0.21
Funny Games,15000000,1294640.0,-0.914
Funny Ha Ha,30000,77070.0,1.569
Funny People,72500000,51855045.0,-0.285
Furious 7,190000000,351032910.0,0.848
Furry Vengeance,35000000,17630465.0,-0.496
Fury,80000000,85755593.0,0.072
G-Force,150000000,119436770.0,-0.204
G.I. Jane,50000000,48169156.0,-0.037
G.I. Joe: Retaliation,140000000,122523060.0,-0.125
G.I. Joe: The Rise of Cobra,175000000,150201498.0,-0.142
Gabriela,50000,2335352.0,45.707
Gake no ue no Ponyo,34000000,15090399.0,-0.556
Galaxina,5500000,4865000.0,-0.115
Galaxy Quest,45000000,71423726.0,0.587
Gallipoli,3000000,5732587.0,0.911
Gamer,50000000,20534907.0,-0.589
Gandhi,22000000,52767889.0,1.399
"Gandhi, My Father",5000000,240425.0,-0.952
Gangs of New York,97000000,77730500.0,-0.199
Gangster Squad,60000000,46000903.0,-0.233
Garden State,2500000,26782316.0,9.713
Garfield,50000000,75367693.0,0.507
Garfield: A Tail of Two Kitties,60000000,28426747.0,-0.526
Gattaca,36000000,12532777.0,-0.652
Genius,17000000,1361045.0,-0.92
Gentleman's Agreement,2000000,7800000.0,2.9
Gentlemen Broncos,9500000,113682.0,-0.988
Geograf globus propil,4000000,0.0,-1.0
George A. Romero's Land of the Dead,18975000,20700082.0,0.091
George A. Romero's Survival of the Dead,4200000,101740.0,-0.976
George Of The Jungle,55000000,105263257.0,0.914
George Washington,42000,241816.0,4.758
Georgia Rule,20000000,18882880.0,-0.056
Gerry,7000000,254683.0,-0.964
Get Carter,40000000,14967182.0,-0.626
Get Hard,40000000,90411453.0,1.26
Get Him to the Greek,40000000,61153526.0,0.529
Get Low,7000000,9176933.0,0.311
Get Over It,10000000,11560259.0,0.156
Get Real,2000000,1152411.0,-0.424
Get Rich or Die Tryin',40000000,30981850.0,-0.225
Get Shorty,30250000,72021008.0,1.381
Get Smart,80000000,130319208.0,0.629
Get on Up,30000000,30569935.0,0.019
Get on the Bus,2400000,5691854.0,1.372
Getaway,18000000,10501938.0,-0.417
Gettysburg,25000000,10731997.0,-0.571
Ghost,22000000,217631306.0,8.892
Ghost Dog: Way of the Samurai,2000000,3330230.0,0.665
Ghost Rider,120000000,115802596.0,-0.035
Ghost Rider: Spirit of Vengeance,57000000,51774002.0,-0.092
Ghost Ship,20000000,30113491.0,0.506
Ghost Town,20000000,13252641.0,-0.337
Ghost World,5500000,6217849.0,0.131
Ghostbusters,144000000,128350574.0,-0.109
Ghosts of Mississippi,36000000,13052741.0,-0.637
Gigli,54000000,6087542.0,-0.887
Girl 6,12000000,4880941.0,-0.593
Girl with a Pearl Earring,12000000,11634362.0,-0.03
"Girl, Interrupted",24000000,28871190.0,0.203
Gladiator,103000000,187683805.0,0.822
Glee: The 3D Concert Movie,9000000,11862398.0,0.318
Glengarry Glen Ross,12500000,10725228.0,-0.142
Glitter,8500000,4273372.0,-0.497
Gloria,30000000,4167493.0,-0.861
Glory,18000000,26593580.0,0.477
Glory Road,30000000,42647449.0,0.422
Gnomeo and Juliet,36000000,99967670.0,1.777
Go For It!,2450000,180237.0,-0.926
Go!,6500000,16875273.0,1.596
Goal! The Dream Begins,33000000,4283255.0,-0.87
God's Army,300000,2637726.0,7.792
Gods and Generals,55000000,12882934.0,-0.766
Gods and Monsters,3500000,6451628.0,0.843
Gods of Egypt,140000000,31153464.0,-0.777
Godsend,30000000,14334645.0,-0.522
Godzilla,160000000,200676069.0,0.254
Godzilla 2000,1000000,10037390.0,9.037
God’s Not Dead,1150000,60755732.0,51.831
Going the Distance,32000000,17804299.0,-0.444
Goldeneye,60000000,106429941.0,0.774
Goldfinger,3000000,51100000.0,16.033
Gomorra,6200000,1579146.0,-0.745
Gone Girl,61000000,167767189.0,1.75
Gone in 60 Seconds,103300000,101643008.0,-0.016
Gone with the Wind,3900000,198680470.0,49.944
"Gone, Baby, Gone",19000000,20300218.0,0.068
Good,16000000,31631.0,-0.998
Good Boy!,17000000,37667746.0,1.216
Good Dick,200000,28835.0,-0.856
Good Luck Chuck,25000000,35017297.0,0.401
Good Morning Vietnam,13000000,123922370.0,8.532
"Good Night, and Good Luck",7000000,31501218.0,3.5
Good Will Hunting,10000000,138433435.0,12.843
Goodbye Bafana,30000000,0.0,-1.0
"Goodbye, Lenin!",6400000,4063859.0,-0.365
Goodfellas,25000000,46743809.0,0.87
Goosebumps,58000000,80069458.0,0.381
Gory Gory Hallelujah,425000,12604.0,-0.97
Gosford Park,18000000,41300105.0,1.294
Gossip,14000000,5108820.0,-0.635
Gothika,40000000,59588068.0,0.49
Grabbers,5300000,0.0,-1.0
Grace,5000000,8297.0,-0.998
Grace Unplugged,1700000,2507159.0,0.475
Grace of Monaco,30000000,0.0,-1.0
Gracie,9000000,2956339.0,-0.672
Graduation Day,250000,23894000.0,94.576
Gran Torino,25000000,148095302.0,4.924
Grandma's Boy,5000000,6090172.0,0.218
Grave Encounters,2000000,0.0,-1.0
Gravity,110000000,274092705.0,1.492
Grease,6000000,181813770.0,29.302
Greater,9000000,2000093.0,-0.778
Green Lantern,200000000,116601172.0,-0.417
Green Room,5000000,3220371.0,-0.356
Green Zone,100000000,35497337.0,-0.645
Gremlins,11000000,148168459.0,12.47
Gremlins 2: The New Batch,50000000,41476097.0,-0.17
Gridiron Gang,30000000,38432823.0,0.281
Griff the Invisible,2900000,20778.0,-0.993
Grindhouse,53000000,25031037.0,-0.528
Grip: A Criminal's Story,12000,1336.0,-0.889
Groove,500000,1115313.0,1.231
Grosse Pointe Blank,15000000,28084357.0,0.872
Groundhog Day,14600000,70906973.0,3.857
Grown Ups,75000000,162001186.0,1.16
Grown Ups 2,80000000,133668525.0,0.671
Grudge Match,40000000,29807260.0,-0.255
Guardians of the Galaxy,170000000,333172112.0,0.96
Guess Who,35000000,68915888.0,0.969
Guiana 1838,1000000,227241.0,-0.773
Gulliver's Travels,112000000,42779261.0,-0.618
Gun Shy,10000000,1638202.0,-0.836
Gunless,9900000,458054.0,-0.954
"Guten Tag, Ramon",4000000,154356.0,-0.961
Gwoemul,12000000,2201923.0,-0.817
Haakon Haakonsen,8500000,15024232.0,0.768
Hachiko: A Dog's Story,16000000,0.0,-1.0
Hacksaw Ridge,40000000,64738291.0,0.618
Haeundae,16000000,0.0,-1.0
Haevnen,5500000,1008098.0,-0.817
"Hail, Caesar!",22000000,30080225.0,0.367
Hairspray,75000000,118871849.0,0.585
Half Baked,8000000,17394881.0,1.174
Half Nelson,700000,2697938.0,2.854
Half Past Dead,25000000,15567860.0,-0.377
Hall Pass,68000000,45060734.0,-0.337
Halloween,15000000,58269151.0,2.885
Halloween 2,15000000,33392973.0,1.226
Halloween 3: Season of the Witch,2500000,14400000.0,4.76
Halloween 4: The Return of Michael Myers,5000000,17768757.0,2.554
Halloween 5: The Revenge of Michael Myers,6000000,11642254.0,0.94
Halloween II,2500000,25533818.0,9.214
Halloween:  The Curse of Michael Myers,5000000,15126948.0,2.025
Halloween: H2O,17000000,55041738.0,2.238
Halloween: Resurrection,15000000,30259652.0,1.017
Hamlet,18000000,4501094.0,-0.75
Hamlet 2,9000000,4886216.0,-0.457
Hancock,150000000,227946274.0,0.52
Hands of Stone,20000000,4712792.0,-0.764
Hang 'em High,1800000,6800000.0,2.778
Hanging Up,40000000,36037909.0,-0.099
Hanna,30000000,40259119.0,0.342
Hannah Montana the Movie,30000000,79576189.0,1.653
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,6500000,65281781.0,9.043
Hannibal,87000000,165092266.0,0.898
Hannibal Rising,50000000,27669725.0,-0.447
Hansel & Gretel: Witch Hunters,50000000,55703475.0,0.114
Happily N'Ever After,47000000,15849032.0,-0.663
Happiness,3000000,2746453.0,-0.085
Happy Christmas,70000,30312.0,-0.567
Happy Feet,85000000,198000317.0,1.329
Happy Feet Two,135000000,64006466.0,-0.526
Happy Gilmore,10000000,38623460.0,2.862
Happy Valley,250000,67665.0,-0.729
"Happy, Texas",1700000,2039192.0,0.2
Hard Candy,950000,1024640.0,0.079
Hard Rain,70000000,19870567.0,-0.716
Hardball,21000000,40222729.0,0.915
Hardflip,1000000,96734.0,-0.903
Harley Davidson and the Marlboro Man,23000000,7018525.0,-0.695
Harold & Kumar Escape from Guantanamo Bay,12000000,38108728.0,2.176
Harold & Kumar Go to White Castle,9000000,18225165.0,1.025
Harper,3500000,12000000.0,2.429
Harriet the Spy,13000000,26570048.0,1.044
Harry Brown,7300000,1818681.0,-0.751
Harry Potter and the Chamber of Secrets,100000000,261987880.0,1.62
Harry Potter and the Deathly Hallows: Part I,125000000,295983305.0,1.368
Harry Potter and the Deathly Hallows: Part II,125000000,381011219.0,2.048
Harry Potter and the Goblet of Fire,150000000,290013036.0,0.933
Harry Potter and the Half-Blood Prince,250000000,301959197.0,0.208
Harry Potter and the Order of the Phoenix,150000000,292004738.0,0.947
Harry Potter and the Prisoner of Azkaban,130000000,249538952.0,0.92
Harry Potter and the Sorcerer’s Stone,125000000,317575550.0,1.541
Harsh Times,2000000,3337931.0,0.669
Hart's War,70000000,19076815.0,-0.727
Harvard Man,5500000,56653.0,-0.99
Hatchet,1500000,175281.0,-0.883
Hauru no ugoku shiro,24000000,4710455.0,-0.804
Hav Plenty,650000,2301777.0,2.541
Hawaii,15000000,34562222.0,1.304
Haywire,23000000,18942396.0,-0.176
He Got Game,25000000,21567853.0,-0.137
He's Just Not That Into You,40000000,93953653.0,1.349
Head Over Heels,14000000,10397365.0,-0.257
Head of State,35200000,37788228.0,0.074
Heartbeeps,10000000,6000000.0,-0.4
Heartbreakers,38000000,40334024.0,0.061
Hearts in Atlantis,31000000,24185781.0,-0.22
Heaven is for Real,12000000,91386097.0,6.616
Heaven's Gate,44000000,3484331.0,-0.921
Heavenly Creatures,5000000,3046086.0,-0.391
Heavy Metal,9300000,19571091.0,1.104
Hedwig and the Angry Inch,6000000,3067312.0,-0.489
Heist,35000000,23483357.0,-0.329
Held Up,8000000,4714090.0,-0.411
Heli,1000000,0.0,-1.0
Hellboy,60000000,59623958.0,-0.006
Hellboy II: The Golden Army,82500000,75986503.0,-0.079
"Hello, Dolly",24000000,33208099.0,0.384
Hellraiser,1000000,14564000.0,13.564
Henry V,9000000,10161099.0,0.129
Her,23000000,25568251.0,0.112
Herbie: Fully Loaded,50000000,66010682.0,0.32
Hercules,100000000,72688614.0,-0.273
Here Comes the Boom,42000000,45290318.0,0.078
Here on Earth,15000000,10494147.0,-0.3
Hereafter,50000000,32746941.0,-0.345
Hero,42000000,19487173.0,-0.536
Heroes,400000,655538.0,0.639
Hesher,7000000,382946.0,-0.945
Hey Arnold! The Movie,10000000,13684949.0,0.368
Hidalgo,78000000,67286731.0,-0.137
Hidden Figures,25000000,2658078.0,-0.894
Hide and Seek,25000000,51100486.0,1.044
High Anxiety,3400000,31063038.0,8.136
High Crimes,42000000,41543207.0,-0.011
High Fidelity,20000000,27277055.0,0.364
High Heels and Low Lifes,10000000,226792.0,-0.977
High Noon,730000,8000000.0,9.959
High Plains Drifter,5500000,15700000.0,1.855
High School Musical 3: Senior Year,11000000,90559416.0,7.233
High Tension,2850000,3681066.0,0.292
Higher Ground,1800000,841056.0,-0.533
Highlander,16000000,5900000.0,-0.631
Highlander III: The Sorcerer,26000000,13738574.0,-0.472
Highlander: Endgame,15000000,12801190.0,-0.147
Hillary’s America: The Secret History of the Democratic Party,5000000,13099931.0,1.62
History of the World: Part I,11000000,31672000.0,1.879
Hit & Run,22000000,13749300.0,-0.375
Hitch,55000000,177784257.0,2.232
Hitman,17500000,39687694.0,1.268
Hitman: Agent 47,35000000,22467450.0,-0.358
Hits,1000000,15156.0,-0.985
Hobo with a Shotgun,3000000,703372.0,-0.766
Hocus Pocus,28000000,39360491.0,0.406
Hodejegerne,5250000,1200010.0,-0.771
Hoffa,35000000,23365858.0,-0.332
Holes,20000000,67383924.0,2.369
Hollow Man,90000000,73209340.0,-0.187
Holly,3000000,163069.0,-0.946
Hollywood Ending,16000000,4839383.0,-0.698
Hollywood Homicide,75000000,30207785.0,-0.597
Hollywood Shuffle,100000,5228617.0,51.286
Holy Girl,1400000,304124.0,-0.783
Holy Man,60000000,12069719.0,-0.799
Holy Motors,4000000,641054.0,-0.84
Home,130000000,177397510.0,0.365
Home Alone,15000000,285761243.0,18.051
Home Alone 2: Lost in New York,20000000,173585516.0,7.679
Home Fries,15000000,10513979.0,-0.299
Home Movies,400000,89134.0,-0.777
Home Run,1200000,2859955.0,1.383
Home for the Holidays,20000000,17468887.0,-0.127
Home on the Range,110000000,50026353.0,-0.545
Homefront,22000000,20158492.0,-0.084
Honey,18000000,30272254.0,0.682
Hoodwinked,17500000,51386611.0,1.936
Hoodwinked Too: Hood vs. Evil,30000000,10143779.0,-0.662
Hook,70000000,119654823.0,0.709
Hoop Dreams,700000,7768371.0,10.098
Hoot,15000000,8117637.0,-0.459
Hop,63000000,108085305.0,0.716
Hope Floats,30000000,60110313.0,1.004
Hope Springs,30000000,63536011.0,1.118
Horrible Bosses,35000000,117538559.0,2.358
Horrible Bosses 2,40000000,54445357.0,0.361
Horton Hears a Who,85000000,154529439.0,0.818
Hostage,75000000,34636443.0,-0.538
Hostel,4800000,47326473.0,8.86
Hostel: Part II,7500000,17544812.0,1.339
Hot Fuzz,16000000,23618786.0,0.476
Hot Pursuit,35000000,34580201.0,-0.012
Hot Rod,25000000,13938332.0,-0.442
Hot Tub Time Machine,36000000,50269859.0,0.396
Hot Tub Time Machine 2,14000000,12314651.0,-0.12
Hotel Rwanda,17500000,23519128.0,0.344
Hotel Transylvania,85000000,148313048.0,0.745
Hotel Transylvania 2,80000000,169700110.0,1.121
Hotel for Dogs,75000000,73034460.0,-0.026
House Party 2,5000000,19438638.0,2.888
House at the End of the Street,6900000,31611916.0,3.581
"House of 1,000 Corpses",7000000,12634962.0,0.805
House of D,2000000,388532.0,-0.806
House of Flying Daggers,12000000,11050094.0,-0.079
House of Sand and Fog,16500000,13005485.0,-0.212
House of Wax,35000000,32064800.0,-0.084
House on Haunted Hill,19000000,40846082.0,1.15
Housebound,1500000,0.0,-1.0
Housefull,10100000,1183658.0,-0.883
How Do You Know?,120000000,30212620.0,-0.748
How High,12000000,31155435.0,1.596
How She Move,17000000,7070641.0,-0.584
How Stella Got Her Groove Back,20000000,37672944.0,0.884
How the Grinch Stole Christmas,123000000,260044825.0,1.114
How to Deal,16000000,14108518.0,-0.118
How to Lose Friends & Alienate People,28000000,2775593.0,-0.901
How to Lose a Guy in 10 Days,50000000,105807520.0,1.116
How to Train Your Dragon,165000000,217581231.0,0.319
How to Train Your Dragon 2,145000000,177002924.0,0.221
How to be Single,37000000,46843513.0,0.266
Howard the Duck,30000000,16295774.0,-0.457
Howards End,8000000,26124872.0,2.266
Hross i oss,10000000,11894.0,-0.999
Hud,2500000,10000000.0,3.0
Hudson Hawk,65000000,17218916.0,-0.735
Hugo,180000000,73864507.0,-0.59
Hulk,137000000,132177234.0,-0.035
Hum to Mohabbt Karega,2000000,121807.0,-0.939
Human Traffic,3300000,104257.0,-0.968
Hurricane Streets,500000,334041.0,-0.332
Hustle & Flow,2800000,22202809.0,6.93
Hybrid,200000,162605.0,-0.187
I Am Sam,22000000,40270895.0,0.83
I Am Wrath,18000000,0.0,-1.0
I Can Do Bad All By Myself,19000000,51733921.0,1.723
I Come with the Rain,18000000,0.0,-1.0
I Don't Know How She Does It,24000000,9659074.0,-0.598
I Dreamed of Africa,34000000,6543194.0,-0.808
I Got the Hook-Up!,3500000,10317779.0,1.948
I Heart Huckabees,22000000,12784713.0,-0.419
I Hope They Serve Beer in Hell,7000000,1429299.0,-0.796
I Know What You Did Last Summer,17000000,72250091.0,3.25
I Love You … Don't Touch Me!,68000,33598.0,-0.506
"I Love You, Beth Cooper",18000000,14800725.0,-0.178
"I Love You, Man",40000000,71440011.0,0.786
"I Love You, Phillip Morris",13000000,2037459.0,-0.843
I Love Your Work,1600000,3264.0,-0.998
I Married a Strange Person,250000,203134.0,-0.187
I Now Pronounce You Chuck and Larry,85000000,119725280.0,0.409
I Origins,1000000,336472.0,-0.664
I Spit on Your Grave,1750000,93051.0,-0.947
I Spy,70000000,33561137.0,-0.521
I Still Know What You Did Last Summer,24000000,40020622.0,0.668
I Think I Love My Wife,14000000,12559771.0,-0.103
I Want Someone To Eat Cheese With,1500000,194568.0,-0.87
I Want Your Money,400000,433588.0,0.084
I am Legend,150000000,256393010.0,0.709
I am Number Four,50000000,55100437.0,0.102
I'm Not There,20000000,4017609.0,-0.799
"I, Frankenstein",65000000,19075290.0,-0.707
"I, Robot",105000000,144801023.0,0.379
Ice Age,65000000,176387405.0,1.714
Ice Age: Collision Course,105000000,64063008.0,-0.39
Ice Age: Continental Drift,95000000,161321843.0,0.698
Ice Age: Dawn of the Dinosaurs,90000000,196573705.0,1.184
Ice Age: The Meltdown,75000000,195330621.0,1.604
Ice Princess,25000000,24381334.0,-0.025
Ida,2600000,3827060.0,0.472
Identity,28000000,52131264.0,0.862
Identity Thief,35000000,134506920.0,2.843
Idiocracy,2400000,444093.0,-0.815
Idle Hands,15000000,4023741.0,-0.732
Idlewild,15000000,12669914.0,-0.155
If I Stay,11000000,50474843.0,3.589
Igby Goes Down,9000000,4777465.0,-0.469
Igor,22000000,19528602.0,-0.112
"Il buono, il brutto, il cattivo",1200000,6100000.0,4.083
Il conformista,750000,59656.0,-0.92
Illuminata,10000000,836641.0,-0.916
Imaginary Heroes,10000000,228524.0,-0.977
Imagine Me & You,7900000,672243.0,-0.915
Imagine That,55000000,16123323.0,-0.707
Immortals,75000000,83504017.0,0.113
Impostor,40000000,6114237.0,-0.847
In & Out,35000000,63826569.0,0.824
In Bruges,15000000,7800825.0,-0.48
In Cold Blood,3500000,13000000.0,2.714
In Dreams,30000000,12017369.0,-0.599
In Good Company,26000000,45489752.0,0.75
In Her Line of Fire,1000000,884.0,-0.999
In The Land of Blood and Honey,13000000,303877.0,-0.977
In Time,35000000,37553932.0,0.073
In Too Deep,7000000,14026509.0,1.004
In the Bedroom,1700000,35930604.0,20.136
In the Company of Men,25000,2883661.0,114.346
In the Cut,12000000,4717455.0,-0.607
